id,listing_url,name,picture_url,host_name,host_since,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
42109978,https://www.airbnb.com/rooms/42109978,NEW! Private and stylish Casa - The Pijp,https://a0.muscache.com/pictures/f1b57f26-63b2-497b-8519-8461a7a69067.jpg,Marlon,2020-02-04,f,t,De Pijp - Rivierenbuurt,52.35748,4.89735,Private room in bed and breakfast,Private room,2,$146.00,3,106,4.69,4.82,4.64,4.89,4.89,4.8,4.41
42112141,https://www.airbnb.com/rooms/42112141,Top appartement in het groene hart van Amsterdam,https://a0.muscache.com/pictures/27365881-3f51-4905-b692-9f0693a12c6a.jpg,Sue,2017-08-23,f,f,Buitenveldert - Zuidas,52.32866,4.85797,Entire rental unit,Entire home/apt,2,$76.00,1,0,,,,,,,
42128777,https://www.airbnb.com/rooms/42128777,Ruime twee etage woning met tuin naast Vondelpark,https://a0.muscache.com/pictures/c42b5164-866b-429c-9088-5db4639849b0.jpg,Michiel,2018-10-02,f,t,Zuid,52.35228,4.854425,Entire rental unit,Entire home/apt,4,$298.00,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
42130098,https://www.airbnb.com/rooms/42130098,Empire suites garden view,https://a0.muscache.com/pictures/50a15eee-358b-4c32-9e4c-87e0fe34095d.jpg,Thijs,2017-12-19,t,t,Centrum-Oost,52.36208,4.89492,Private room in rental unit,Private room,2,$206.00,2,4,4.75,4.75,5.0,5.0,4.75,5.0,4.75
42134255,https://www.airbnb.com/rooms/42134255,9 Streets Cozy Room in the city centre,https://a0.muscache.com/pictures/87d4e396-cd8d-4bee-ae6f-b775f0e358ec.jpg,Ian,2015-08-06,f,t,Centrum-West,52.36937,4.88695,Private room in home,Private room,2,$100.00,1,12,4.92,4.83,4.83,5.0,5.0,5.0,4.75
42148562,https://www.airbnb.com/rooms/42148562,Luxury Guesthouse Private Entrance & Free Parking!,https://a0.muscache.com/pictures/6c5ce556-8ed1-4c8e-aae2-e29c2eb21629.jpg,Mandy,2020-02-08,t,t,Osdorp,52.35937,4.75571,Entire cabin,Entire home/apt,2,$58.00,1,81,4.73,4.64,4.95,4.95,4.96,4.33,4.59
42150551,https://www.airbnb.com/rooms/42150551,Unique floating house in Schoonship project!,https://a0.muscache.com/pictures/d74a13d5-96ab-4c23-8489-0db2d9c1978a.jpg,Manon,2013-01-23,f,t,Oud-Noord,52.39464,4.90554,Houseboat,Entire home/apt,4,$195.00,2,7,5.0,5.0,4.86,5.0,4.71,5.0,4.86
42166001,https://www.airbnb.com/rooms/42166001,Sunny and Spacious 2-BR Flat with Rooftop Terrace,https://a0.muscache.com/pictures/435b4303-9936-407a-9e57-e509b05b7f95.jpg,Thomas,2016-12-19,f,t,Westerpark,52.37978,4.86823,Entire rental unit,Entire home/apt,4,$279.00,5,10,4.8,5.0,5.0,5.0,5.0,4.7,4.5
42192150,https://www.airbnb.com/rooms/42192150,Room on houseboat with private bathroom ensuite,https://a0.muscache.com/pictures/da67d646-ce98-4835-af86-a7846f7cf1cf.jpg,Anna,2016-01-22,f,t,Centrum-Oost,52.35913,4.89555,Private room in houseboat,Private room,2,$100.00,3,16,5.0,5.0,5.0,5.0,5.0,4.87,4.87
42211401,https://www.airbnb.com/rooms/42211401,Luxurious Twin Room near Amsterdam Center,https://a0.muscache.com/pictures/68f0be85-fb9f-4edc-8f83-7760f4ca75b5.jpg,Reservations,2020-01-07,f,t,Slotervaart,52.34601,4.82935,Room in hotel,Private room,2,$136.00,1,212,4.55,4.55,4.67,4.71,4.61,4.32,4.5
