address,id,lat,lng,location,name,subCategory,details,reviews
1 Boulevard Montmartre,83966,48.871419269109,2.3428773880005,Paris,O'Sullivans café bar,Pub,http://tour-pedia.org/api/getPlaceDetails?id=83966,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83966
72 rue Falguière,84048,48.840376138687,2.3129439353943,Paris,Le Bréguet,Pub,http://tour-pedia.org/api/getPlaceDetails?id=84048,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84048
153 rue du Chevaleret,84173,48.832583,2.371197,Paris,Shannon River,Pub,http://tour-pedia.org/api/getPlaceDetails?id=84173,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84173
53 Rue du Faubourg Saint-Antoine,84184,48.852121975337,2.3726177215576,Paris,Corcoran's,Pub,http://tour-pedia.org/api/getPlaceDetails?id=84184,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84184
184 rue Saint-Jacques,84393,48.846189185881,2.3429845694717,Paris,Wide Open Spaces Bar,Pub,http://tour-pedia.org/api/getPlaceDetails?id=84393,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84393
23 boulevard Poissonnière,84498,48.871389028809,2.344156996193,Paris,Corcoran's,Pub,http://tour-pedia.org/api/getPlaceDetails?id=84498,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84498
110 Bis Avenue Kléber,84870,48.864630067544,2.2883319854736,Paris,Frog XVI,Pub,http://tour-pedia.org/api/getPlaceDetails?id=84870,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84870
10 Rue de la Chaussée d'Antin,85182,48.871616862012,2.3335647583008,Paris,Murphy's House,Pub,http://tour-pedia.org/api/getPlaceDetails?id=85182,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85182
88 rue de la Croix Nivert,85351,48.843711875858,2.2958978951281,Paris,Celtic corner,Pub,http://tour-pedia.org/api/getPlaceDetails?id=85351,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85351
73 boulevard du Montparnasse,85497,48.843524,2.324543,Paris,Café La Ruche,Pub,http://tour-pedia.org/api/getPlaceDetails?id=85497,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85497
Avenue Kléber,85551,48.865913419753,2.2892517343462,Paris,Pub Kleber,Pub,http://tour-pedia.org/api/getPlaceDetails?id=85551,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85551
"13, rue d'Artois",85723,48.873123053038,2.307535987592,Paris,The Bowler,Pub,http://tour-pedia.org/api/getPlaceDetails?id=85723,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85723
68/70 quai de Jemmapes,85730,48.871568,2.36505,Paris,The Cork and Cavan,Pub,http://tour-pedia.org/api/getPlaceDetails?id=85730,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85730
32 boulevard du Docteur Cunéo,86215,48.823889,2.42285,Paris,Bar a Thym,Pub,http://tour-pedia.org/api/getPlaceDetails?id=86215,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86215
17 boulevard Poissonnière,86365,48.871066422699,2.3450231552124,Paris,James Hetfeeld's Pub,Pub,http://tour-pedia.org/api/getPlaceDetails?id=86365,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86365
Rue de Dunkerque,86530,48.879986513598,2.3552998128553,Paris,Au Rendez-Vous des Belges,Pub,http://tour-pedia.org/api/getPlaceDetails?id=86530,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86530
9 rue Brunel,87939,48.876890909298,2.2886788693595,Paris,Saint Andrews,Pub,http://tour-pedia.org/api/getPlaceDetails?id=87939,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87939
Boul. Périphérique,90517,48.877473725788,2.4097394943237,Paris,Corcoran's,Pub,http://tour-pedia.org/api/getPlaceDetails?id=90517,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90517
98 rue Oberkampf,90586,48.865924560531,2.3781477484974,Paris,O'Connells,Pub,http://tour-pedia.org/api/getPlaceDetails?id=90586,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90586
Rue Dénoyez,84197,48.87207822115,2.3783903594526,Paris,Street Art - Rue Dénoyez,Public Art,http://tour-pedia.org/api/getPlaceDetails?id=84197,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84197
Place des Abbesses,88051,48.884762,2.338579,Paris,"Le Mur des ""Je t'aime""",Public Art,http://tour-pedia.org/api/getPlaceDetails?id=88051,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88051
Rue Saint-Fargeau,90323,48.871382407709,2.4032997094807,Paris,Space Invader,Public Art,http://tour-pedia.org/api/getPlaceDetails?id=90323,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90323
58-62 Rue de Mouzaïa,90816,48.880151571906,2.397476881319,Paris,B.L.O.C,Public Art,http://tour-pedia.org/api/getPlaceDetails?id=90816,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90816
Les Jardins de Bagatelle,90823,48.871750939874,2.2474551774479,Paris,"Circulation(s), Festival de la Jeune Photographie Européenne",Public Art,http://tour-pedia.org/api/getPlaceDetails?id=90823,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90823
