address,id,lat,lng,location,name,subCategory,,
,23622,41.910801615094,12.537077127667,Rome,Officina D'arte,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=23622,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23622
,23657,41.878966,12.540758,Rome,Studio 54,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=23657,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23657
,24146,41.908556,12.446584,Rome,Casa Mia,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=24146,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=24146
,25116,41.868141039244,12.539945520683,Rome,Black Horse Tattoo,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=25116,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25116
Via vaticano,25213,41.906316150166,12.454260908949,Rome,Museo gregoriano egizio,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=25213,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25213
,25218,41.906798151943,12.453443575199,Rome,Sala sobieski,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=25218,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25218
,25338,41.902120073199,12.45239672481,Rome,Collezione Arte Contemporanea,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=25338,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25338
Via Alessandro Robecchi Brichetti 12,25637,41.874435424805,12.489883422852,Rome,elements,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=25637,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25637
Via Aversa,26100,41.891014099121,12.543319702148,Rome,casarecycleit,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=26100,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26100
Piazzale di Villa Giulia 9,416,41.918176548701,12.478106128694,Rome,Museo Nazionale Etrusco di Villa Giulia,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=416,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=416
Via Ostiense 106,421,41.866997349106,12.478313305587,Rome,Centrale Montemartini,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=421,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=421
"Via Guido Reni, 4/A",1755,41.928557,12.46647,Rome,MAXXI Museo Nazionale delle Arti del XXI Secolo,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=1755,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1755
Lungotevere in Augusta,3533,41.905566904667,12.475490570068,Rome,Ara Pacis Augustae,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=3533,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3533
"Piazza San Pantaleo, 10",5552,41.897284876488,12.472915630645,Rome,Museo di Roma - Palazzo Braschi,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=5552,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5552
Via Cesare De Lollis,6137,41.902791498045,12.516104185055,Rome,Museo dell'Arte Classica - La Sapienza,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=6137,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6137
,11041,41.902466853429,12.457479917561,Rome,Sala di Constantino,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=11041,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11041
Piazza Venezia,13343,41.894531997685,12.483851227577,Rome,Museo del Vittoriano,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=13343,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13343
Via cassia 492,14574,41.959135,12.454624,Rome,museo crocetti,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=14574,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14574
Piazza Gugliemo Marconi,14636,41.832019183088,12.471986181328,Rome,Museo dell' Alto Medioevo,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=14636,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14636
,15187,41.905402516543,12.453583529191,Rome,Borgia,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=15187,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15187
Via Giovanni Vestri 28,16366,41.818654,12.44355,Rome,galleria del csf,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=16366,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16366
"Piazza Orazio Giustiniani, 4",20650,41.875684939967,12.473173190232,Rome,Factory - Spazio Giovani,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=20650,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=20650
,22322,41.880969842019,12.527632106204,Rome,Visiva,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=22322,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=22322
,23451,41.90639268542,12.454658381597,Rome,Sala Di Animali,Art Museum,http://tour-pedia.org/api/getPlaceDetails?id=23451,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23451
Via Tivoli 41,7025,41.929903201448,12.590837779828,Rome,Augustus Color,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=7025,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7025
Via dei Furi 25-27,7114,41.862670018925,12.548741625917,Rome,Officina Culturale Via Libera,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=7114,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7114
,7667,41.865933,12.528112,Rome,Graffiti,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=7667,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7667
Via di  Torrenova,8698,41.86376945,12.619311,Rome,Centro Sportivo Giardinetti,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=8698,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8698
,9007,41.948074,12.561705,Rome,Romapiu,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=9007,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9007
Largo la loggia,9124,41.856667800146,12.446020662731,Rome,Il Pozzo Dei Divertimenti,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=9124,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9124
,9877,41.888667475934,12.426239798257,Rome,Swimming Pool Crowne Plaza,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=9877,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9877
,10374,41.962562976666,12.488062244222,Rome,DAL CAPO,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=10374,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=10374
"Via Di Selva Candida, 311b",10731,41.936567,12.377422,Rome,Il Pagliaio,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=10731,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=10731
Via Delle Vele,11146,41.732393,12.283981,Rome,Sala Biliardo,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=11146,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11146
Via Tiburtina 1361,11345,41.938877543578,12.619235578947,Rome,Titanus Studi,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=11345,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11345
,11442,41.931824,12.414201,Rome,Lab123,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=11442,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11442
,11684,41.906814337519,12.419400699346,Rome,Studi Titania,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=11684,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11684
,11699,41.810136,12.609354,Rome,Terrazzo MaMa Relax,Arts & Entertainment,http://tour-pedia.org/api/getPlaceDetails?id=11699,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=11699
Via Portuense 761,1513,41.850822421138,12.423816404136,Rome,Domar Sporting Club,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=1513,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1513
"Viale Marco Polo, 127",4583,41.872500873232,12.495510300646,Rome,Centro Sportivo Marco Polo BNL,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=4583,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4583
,5448,41.945736833079,12.489131822421,Rome,Centro Ippico Militare Lancieri di Montebello,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=5448,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5448
,5496,41.932249532225,12.689037588501,Rome,Tiro A Volo Valle Aniene,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=5496,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5496
