name,lat,lng,location,subcategory
Corner-House,52.374223,4.891303,Amsterdam,Bar
Café De Zon,52.37304638,4.900440743,Amsterdam,Bar
Proust,52.38013793,4.887558818,Amsterdam,Bar
Noorderparkbar,52.395043,4.920325,Amsterdam,Bar
De Hut,52.34641016,4.865717776,Amsterdam,Bar
double tree street terrace,52.37662218,4.905553372,Amsterdam,Bar
Lobby Bar,52.37666,4.905457,Amsterdam,Bar
Future Cafe,52.362382,4.791225,Amsterdam,Bar
Café Fly-Inn,52.35803903,4.805125807,Amsterdam,Bar
Desmet Studio's,52.367018,4.909558,Amsterdam,Bar
Cafe Smit & Voogt,52.367256,4.90943,Amsterdam,Bar
Bar Berlijn,52.36955394,4.873679587,Amsterdam,Bar
Café Pollux,52.374343,4.905044,Amsterdam,Bar
Café Batavia 1920,52.37684647,4.90153741,Amsterdam,Bar
Café De Prins,52.376059,4.884327,Amsterdam,Bar
Café Scharrebier,52.370418,4.91119685,Amsterdam,Bar
Figuranten Bar,52.360592,4.859360978,Amsterdam,Bar
The Magpie,52.349481,4.848898,Amsterdam,Bar
Café de Rijnbar,52.34883699,4.904998907,Amsterdam,Bar
Café Riviera,52.348371,4.9044698,Amsterdam,Bar
Café Wildschut,52.35325555,4.88224268,Amsterdam,Bar
Café De Roeter,52.36231425,4.910824299,Amsterdam,Bar
The Tara Irish Pub,52.370288,4.892854,Amsterdam,Bar
De Gouden Florijn,52.373789,4.881809,Amsterdam,Bar
De Doffer,52.36895066,4.883766174,Amsterdam,Bar
De Ruyschkamer,52.35696159,4.909244803,Amsterdam,Bar
De Groene Olifant,52.363888,4.919803,Amsterdam,Bar
Caffe Oslo,52.357791,4.85429448,Amsterdam,Bar
Bar Content,52.3753661,4.820225829,Amsterdam,Bar
Café Bedier,52.352335,4.856572,Amsterdam,Bar
Cafe 't Hoekje,52.39092719,4.878261946,Amsterdam,Bar
Borrelbar,52.34473513,4.857622152,Amsterdam,Bar
Noorderlicht,52.39952185,4.896686204,Amsterdam,Bar
"Café/Restaurant ""De Uitweg""",52.35632692,4.792243688,Amsterdam,Bar
Café De Tuin,52.377145,4.88195064,Amsterdam,Bar
Café Oosterling,52.3610843,4.899274,Amsterdam,Bar
Café Lusthof,52.35504631,4.880825523,Amsterdam,Bar
Cafe Ruis,52.35172051,4.894834,Amsterdam,Bar
Durty Nelly's Irish Bar & Hostel,52.37410517,4.896522538,Amsterdam,Bar
Café Restaurant Hesp,52.34981743,4.912340566,Amsterdam,Bar
De LAX,52.34615471,4.916768074,Amsterdam,Bar
Café Westerdok,52.389455,4.89103,Amsterdam,Bar
t Monumentje,52.378396,4.883222,Amsterdam,Bar
Café Kale,52.35950347,4.897338152,Amsterdam,Bar
Mankind,52.3608571,4.888402414,Amsterdam,Bar
Café Leentje,52.356521,4.9107731,Amsterdam,Bar
Bar Jorritsma,52.354641,4.798157,Amsterdam,Bar
Dorst,52.366054,4.926696,Amsterdam,Bar
Ruigoord Kerk,52.40508148,4.7558783,Amsterdam,Bar
Soos dbsv,52.36761,4.805615,Amsterdam,Bar
Scouting Sloterplas,52.37238332,4.821278289,Amsterdam,Bar
Amore,52.36307483,4.826774322,Amsterdam,Bar
"Heineken, Apple Pie and Tabs Bar",52.337497,4.839399,Amsterdam,Bar
Disco classic party,52.33716555,4.842381469,Amsterdam,Bar
Zonneterras Joy Jaagpad,52.338506,4.845263,Amsterdam,Bar
DLA Piper Bar,52.33411743,4.855877108,Amsterdam,Bar
Lex' Mens Boat,52.408514,4.871329,Amsterdam,Bar
Brel,52.38416499,4.869977898,Amsterdam,Bar
Verhulst,52.35451848,4.872220194,Amsterdam,Bar
Dock 2013,52.39735969,4.87756961,Amsterdam,Bar
De Kruidenier,52.3897,4.87644,Amsterdam,Bar
OldSchool,52.33756501,4.896282536,Amsterdam,Bar
Bouw Pllek,52.39593655,4.900605302,Amsterdam,Bar
Cafe Amsterdam,52.341735,4.887737,Amsterdam,Bar
King William The III,52.39212985,4.911111356,Amsterdam,Bar
Bordeel Greetig,52.340805,4.910279,Amsterdam,Bar
Bar Stayokay Amsterdam Zeeburg,52.3653337,4.935902879,Amsterdam,Bar
Het Naai Cafe,52.392128,4.956433,Amsterdam,Bar
Amsterdam Manzara,52.365411,4.935507,Amsterdam,Bar
Mokum H.A.W.K.S.,52.36697884,4.799362421,Amsterdam,Baseball Field
Honkbalvereniging 'De Meteoor',52.41225966,4.894815327,Amsterdam,Baseball Field
Quick 1913,52.33676109,4.80502585,Amsterdam,Baseball Field
Tennispark Osdorp,52.36948782,4.795800447,Amsterdam,Baseball Field
Basebal,52.38448689,4.818914688,Amsterdam,Baseball Field
Slotervaart Tennis Vereniging,52.37179701,4.833621,Amsterdam,Baseball Field
Baseball Amsterdam,52.3849309,4.847781953,Amsterdam,Baseball Field
Amsterdam Pirates,52.33868404,4.873033012,Amsterdam,Baseball Field
Basketbalveld,52.387454,4.911454,Amsterdam,Baseball Field
Amsterdam North Stars,52.40350421,4.921781076,Amsterdam,Baseball Field
De Volewijckers,52.40264203,4.920516345,Amsterdam,Baseball Field
OVVO,52.34963209,4.946152171,Amsterdam,Baseball Field
Amsterdam Pirates,52.36669399,4.799354088,Amsterdam,Baseball Stadium
Apollohal,52.34862899,4.884320473,Amsterdam,Basketball Court
basketballen tijdens nachtdienst,52.34738642,4.841448661,Amsterdam,Basketball Court
Timotheus Speeltuin,52.3778642,4.807880508,Amsterdam,Basketball Court
Sportcentrum Caland,52.3543051,4.807204509,Amsterdam,Basketball Stadium
Strand van Java,52.37718302,4.934161822,Amsterdam,Beach
Diemerstrandje,52.35443836,4.986848831,Amsterdam,Beach
Strand Zuid,52.34142238,4.886813164,Amsterdam,Beach
Strand Ijburg,52.35021105,5.000214974,Amsterdam,Beach
Strand Sloterplas,52.36898997,4.81790185,Amsterdam,Beach
Strand West,52.394038,4.879491,Amsterdam,Beach
BeeVee Strand,52.38245313,4.790909919,Amsterdam,Beach
Aquarius Strand,52.33469976,4.814540682,Amsterdam,Beach
Oeverlanden Strandje,52.3342974,4.813768453,Amsterdam,Beach
Ravelina am See,52.33508805,4.82164672,Amsterdam,Beach
Bloemendaal,52.39273697,4.868750625,Amsterdam,Beach
Bogor Beach,52.37702959,4.934843103,Amsterdam,Beach
BBQ Eiland,52.362667,4.958066,Amsterdam,Beach
jaarlijkse beach party rieteiland oost,52.346595,5.001826,Amsterdam,Beach
"Strandje ""IJburg 2""",52.35555369,5.004053039,Amsterdam,Beach
"Beach bar, IBC",52.34139982,4.886928533,Amsterdam,Beer Garden
De Amsterdamsche Tram,52.38851768,4.839747183,Amsterdam,Beer Garden
casa kommer en kwel,52.39017655,4.907133579,Amsterdam,Beer Garden
The Eva Besnyo Posse,52.35098843,5.006362875,Amsterdam,Beer Garden
Roodbaards Verzamelhok,52.38629095,4.818602589,Amsterdam,Beer Garden
Het beste hoekje van Damsko,52.380131,4.891651,Amsterdam,Beer Garden
De Biertuin,52.362186,4.923926487,Amsterdam,Beer Garden
Proeflokaal de Prael,52.37556479,4.899365902,Amsterdam,Beer Garden
Edelwise,52.36438178,4.859429,Amsterdam,Beer Garden
Op stand 38h,52.37162115,4.96069397,Amsterdam,Beer Garden
Sebsoft-hq,52.36118595,4.992104831,Amsterdam,Beer Garden
Marc's Place,52.355045,4.996358,Amsterdam,Beer Garden
@gizems hause NL:)),52.348637,4.780913,Amsterdam,Beer Garden
Keuter HQ,52.362082,4.798856,Amsterdam,Beer Garden
Onze Lieve Buren,52.346317,4.802834,Amsterdam,Beer Garden
Hostel Alejandro,52.36981911,4.870763582,Amsterdam,Beer Garden
De Luim Show,52.42111,4.877093,Amsterdam,Beer Garden
Oktoberfest Amsterdam,52.335748,4.876461,Amsterdam,Beer Garden
"Ericsson Party @ Beach Bar, RAI",52.341642,4.886576,Amsterdam,Beer Garden
Bar Brandsma,52.32632833,4.884896663,Amsterdam,Beer Garden
Tyler's beer house,52.39941406,4.92028904,Amsterdam,Beer Garden
Zomaarfeest,52.40263698,4.961191112,Amsterdam,Beer Garden
Bowling Dani Noord,52.399559,4.935009,Amsterdam,Bowling Alley
Lovers Powerzone,52.3776754,4.909487298,Amsterdam,Bowling Alley
Knijn Bowling,52.34372962,4.891619682,Amsterdam,Bowling Alley
Dimi's dome,52.38819796,4.840302405,Amsterdam,Bowling Alley
Chateaux Roux,52.378936,4.932243,Amsterdam,Bowling Alley
Brouwerij 't IJ,52.36663819,4.926306009,Amsterdam,Brewery
Bierbrouwerij De 7 Deugden,52.36828437,4.782870587,Amsterdam,Brewery
Bierfabriek,52.37050023,4.893063441,Amsterdam,Brewery
Heineken Experience,52.35774745,4.891587496,Amsterdam,Brewery
Heineken HoReCa City,52.39693882,4.787163582,Amsterdam,Brewery
Butcher's Tears Brewery,52.3473,4.853831,Amsterdam,Brewery
Coffeeshop Resin,52.377524,4.895433,Amsterdam,Brewery
Noorderpils,52.39447403,4.947567463,Amsterdam,Brewery
Magere Brug (Brug 242),52.36355906,4.902369976,Amsterdam,Bridge
P.L. Kramerbrug (Brug 400),52.34983798,4.909740686,Amsterdam,Bridge
Berlagebrug (Brug 423),52.34736066,4.912744761,Amsterdam,Bridge
Rode Brug (Brug 836),52.32878285,4.891051054,Amsterdam,Bridge
Blauwbrug (Brug 236),52.36636304,4.900846481,Amsterdam,Bridge
Brug jachthaven IJburg,52.353991,5.000551,Amsterdam,Bridge
Bruggetje Kalfjeslaan (west),52.32197893,4.868967387,Amsterdam,Bridge
Nieuwe meer Sluis,52.33726364,4.847160199,Amsterdam,Bridge
Nieuwe Amstelbrug (Brug 101),52.35616174,4.90611434,Amsterdam,Bridge
Wiegbrug (Brug 173),52.37014288,4.865087271,Amsterdam,Bridge
Entrepotbrug,52.3695914,4.936871289,Amsterdam,Bridge
Cramersluis,52.373773,4.834165,Amsterdam,Bridge
Lex Van Deldenbrug,52.33598951,4.873407809,Amsterdam,Bridge
Westergasbrug (Brug 193),52.38561918,4.874882698,Amsterdam,Bridge
Han Lammersbrug,52.38319209,4.891428272,Amsterdam,Bridge
Bannebrug - IJdoornlaanbrug - Brug der Zuchten (Brug 970),52.40484075,4.925050735,Amsterdam,Bridge
Vierwindstrekenbrug,52.37397954,4.854453971,Amsterdam,Bridge
Rozenoordbrug (Brug 1638),52.33236922,4.898582697,Amsterdam,Bridge
Nesciobrug (Brug 2013),52.35644351,4.96943593,Amsterdam,Bridge
Rinus Michelsbrug (Brug 245),52.34428019,4.945778847,Amsterdam,Bridge
Oetewalerbrug (Brug 189),52.35529678,4.9282372,Amsterdam,Bridge
Kattenslootbrug (Brug 155),52.38178827,4.879142046,Amsterdam,Bridge
Jan Schaeferbrug (Brug 2000),52.37808802,4.922604561,Amsterdam,Bridge
Overtoomsesluis,52.3581165,4.855209715,Amsterdam,Bridge
Zouthavenbrug (Brug 2326),52.37768195,4.913249016,Amsterdam,Bridge
Ridderspoorbrug,52.3952572,4.903464317,Amsterdam,Bridge
Zeeburgerbrug,52.35683666,4.966421127,Amsterdam,Bridge
Hogesluisbrug (Brug 246),52.36033558,4.904043674,Amsterdam,Bridge
Theophile de Bockbrug (Brug 360),52.35477911,4.853532314,Amsterdam,Bridge
Omvalbrug,52.342465,4.918895,Amsterdam,Bridge
Torontobrug (Brug 350),52.35889411,4.904794693,Amsterdam,Bridge
Freddy Heinekenbrug (Brug 84),52.35833062,4.890890121,Amsterdam,Bridge
Brug Stadionkade,52.3441728,4.867895054,Amsterdam,Bridge
Beltbrug (Brug 324),52.37542888,4.869832098,Amsterdam,Bridge
Vondelbrug (Brug 200),52.36049283,4.876910448,Amsterdam,Bridge
Westerdoksluis (Brug 314),52.38310457,4.893261194,Amsterdam,Bridge
Museumbrug (Brug 82),52.36077784,4.886282086,Amsterdam,Bridge
zeeburgerkade,52.369099,4.943777,Amsterdam,Bridge
Zeilbrug,52.35094012,4.852352086,Amsterdam,Bridge
Amsterdamse Brug (Brug 54P),52.36585205,4.957194328,Amsterdam,Bridge
N200 richting Halfweg,52.38437553,4.803255167,Amsterdam,Bridge
Ookmeerweg,52.36414745,4.795917645,Amsterdam,Bridge
Brug Hoekenespad (Stadspark Osdorp),52.35513943,4.797597653,Amsterdam,Bridge
Tunnel Sloterdijk-Zaandam,52.3902147,4.817359296,Amsterdam,Bridge
Kramer Sluis,52.37584022,4.834872104,Amsterdam,Bridge
Brug  reimersbeek,52.32283927,4.878073602,Amsterdam,Bridge
Onder De A10,52.42379453,4.899520498,Amsterdam,Bridge
Utrechtse brug,52.33900518,4.909338995,Amsterdam,Bridge
Bovenij,52.40592446,4.921995402,Amsterdam,Bridge
Brug Buiksloterdijk,52.39918131,4.919920903,Amsterdam,Bridge
Schollenbrug,52.34901627,4.913027545,Amsterdam,Bridge
Brug over de Weespertrekvaart,52.33693318,4.942156494,Amsterdam,Bridge
Johan Cruijffbrug,52.34552313,4.941565387,Amsterdam,Bridge
Tussen De Viaducten S113,52.33726055,4.943061768,Amsterdam,Bridge
Duivendrechtsebrug,52.3378224,4.946698053,Amsterdam,Bridge
Hoge Rode Brug Borneo Sporenburg,52.37290718,4.948791641,Amsterdam,Bridge
Wim Suurbierbrug,52.34210091,4.949300626,Amsterdam,Bridge
Sjaak Swartbrug,52.345534,4.950836,Amsterdam,Bridge
Piet Keizerbrug,52.345265,4.951537,Amsterdam,Bridge
Gerrie Muhrenbrug,52.344276,4.951611,Amsterdam,Bridge
