address,name,id,lat,lng,location,subCategory,Reviews
"Carrer de Sant Pere Més Alt, 18, Barcelona, Spain",Arabia,339216,41.387761,2.17599,Barcelona,,
"Carrer de Sant Pere Més Alt, 14, Barcelona, Spain",Iowu,339219,41.387557,2.175785,Barcelona,,
"Carrer de Sant Pere d'Abanto, 12, Barcelona, Spain",Mercadona,340093,41.371714,2.143181,Barcelona,,
"Carrer de Sant Pau, 77, Barcelona, Spain",Ambar,339700,41.377878,2.170814,Barcelona,,
"Carrer de Sant Pau, 68, Barcelona, Spain",Bar 68,339649,41.378147,2.171003,Barcelona,,
"Carrer de Sant Pau, 65, Barcelona, Spain",Marsella,129515,41.378235,2.171285,Barcelona,,
"Carrer de Sant Pau, 58, Barcelona, Spain",Conservas,339684,41.37877,2.171699,Barcelona,,
"Carrer de Sant Pau, 56, Barcelona, Spain",Bodega la Masia SL,339687,41.378824,2.17175,Barcelona,,
"Carrer de Sant Pau, 49B, Barcelona, Spain",Ciscopan SL,339697,41.378728,2.171737,Barcelona,,
"Carrer de Sant Pau, 42, Barcelona, Spain",Els Tres Bots,339689,41.379372,2.172314,Barcelona,,
"Carrer de Sant Pau, 39, Barcelona, Spain",DjamAfrica,339698,41.378929,2.171968,Barcelona,,
"Carrer de Sant Pau, 31, Barcelona, Spain",Pollo Rico,339680,41.379118,2.172064,Barcelona,,
"Carrer de Sant Pau, 27, Barcelona, Spain",Wok To Walk,339683,41.379198,2.172242,Barcelona,,
"Carrer de Sant Pau, 128, Barcelona, Spain",La Confitería,340242,41.375477,2.167954,Barcelona,,
"Carrer de Sant Pau, 126, Barcelona, Spain",Ultramarinos Hendricks Barcelona,340243,41.375577,2.168084,Barcelona,,
"Carrer de Sant Pau, 116, Barcelona, Spain",Caleuche Restaurant,339631,41.37625,2.168758,Barcelona,,
"Carrer de Sant Pau, 116, Barcelona, Spain",Día,339637,41.376254,2.168753,Barcelona,,
"Carrer de Sant Pau, 116, Barcelona, Spain",Iltax Distribuciones SL,339638,41.37625,2.168758,Barcelona,,
"Carrer de Sant Pau, 113, Barcelona, Spain",Ignasia Torres Ribera,340275,41.375575,2.168375,Barcelona,,
"Carrer de Sant Pau, 110, Barcelona, Spain",EL PACHUCO,339704,41.376478,2.169225,Barcelona,,
"Carrer de Sant Miquel, 23, Barcelona, Spain",LA TAVERNA D'EN PEP,340398,41.380526,2.188101,Barcelona,,
"Carrer de Sant Martí, 83, Cerdanyola del Vallès, Spain",Restaurante Pantaiberic Roacaiberics,334982,41.423198,2.17202,Barcelona,,
"Carrer de Sant Màrius, 8, Barcelona, Spain",La Taula,129647,41.404303,2.137656,Barcelona,,
"Carrer de Sant Màrius, 22, Barcelona, Spain",La Fonda de Sant Gervasi,334296,41.403943,2.137607,Barcelona,,
"Carrer de Sant Marc, 26, Barcelona, Spain",Ke Magdalenas Espai & Atelier,335482,41.400603,2.15241,Barcelona,,
"Carrer de Sant Manuel, 6, Barcelona, Spain",Luis Parera Urbano,334546,41.429405,2.16726,Barcelona,,
"Carrer de Sant Lluís, 79, Barcelona, Spain",Shams Lounge,335350,41.406386,2.161674,Barcelona,,
"Carrer de Sant Lluís, 58, Barcelona, Spain",Sabores Taller de Cocina,335369,41.405926,2.161077,Barcelona,,
"Carrer de Sant Lluís, 58, Barcelona, Spain",Txinkana Bar,335384,41.405971,2.161172,Barcelona,,
"Carrer de Sant Lluís, 47, Barcelona, Spain",Bar Gato Negro - Gracia,335345,41.405513,2.160301,Barcelona,,
"Carrer de Sant Lluís, 37, Barcelona, Spain",Il Giardinetto de Gracia,335356,41.405319,2.159863,Barcelona,,
"Carrer de Sant Lluís, 24, Barcelona, Spain",Taverna El Glop,129956,41.404904,2.159542,Barcelona,,
"Carrer de Sant Lluís, 103, Barcelona, Spain",la bodegueta de gracia,335381,41.407344,2.163143,Barcelona,,
"Carrer de Sant Jordi, 15, Barcelona, Spain",El Argentino,337661,41.374572,2.13392,Barcelona,,
"Carrer de Sant Joan de Malta, 55, Barcelona, Spain",Can Pineda,129672,41.408562,2.192879,Barcelona,,
"Carrer de Sant Joan de Malta, 53, Barcelona, Spain",Celler Ca la Paqui,134069,41.408673,2.192752,Barcelona,,
"Carrer de Sant Joan de Malta, 150, Barcelona, Spain",Restaurante Il Drago,156061,41.404376,2.198326,Barcelona,,
"Carrer de Sant Joan de Malta, 125, Barcelona, Spain",HABANEANDO,336962,41.406661,2.195322,Barcelona,,
"Carrer de Sant Iscle, 63, Barcelona, Spain",BAR MAXIME,334658,41.434251,2.170042,Barcelona,,
